"Comparison","p.value","p.adjust","formatted_p.adjust","asterisks"
"Menstrual : Follicular",9.59e-06,1.6e-05,"0.00001600","****"
"Menstrual : Early luteal",0,0,"0","****"
"Menstrual : Late luteal",0,0,"0","****"
"Menstrual : Premenstrual",6.97e-06,1.39e-05,"0.00001390","****"
"Follicular : Early luteal",6.19e-11,2.06e-10,"0.0000000002060","****"
"Follicular : Late luteal",1e-08,2.5e-08,"0.00000002500","****"
"Early luteal : Premenstrual",0.0199,0.0284,"0.02840","*"
"Late luteal : Premenstrual",0.0334,0.0417,"0.04170","*"
