"Comparison","p.value","p.adjust","formatted_p.adjust","asterisks"
"Menstrual : Follicular",3.7e-08,1.85e-07,"0.0000001850","****"
"Follicular : Early luteal",0.000428,0.00108,"0.001080","**"
"Follicular : Late luteal",4.37e-12,4.37e-11,"0.00000000004370","****"
"Follicular : Premenstrual",0.000602,0.0012,"0.001200","**"
"Early luteal : Late luteal",0.00043,0.00108,"0.001080","**"
