"Comparison","p.value","p.adjust","formatted_p.adjust","asterisks"
"Menstrual : Follicular",2.4e-08,2.4e-07,"0.0000002400","****"
"Menstrual : Early luteal",5.88e-05,0.000294,"0.0002940","***"
"Menstrual : Late luteal",0.00318,0.0106,"0.01060","*"
